Country,Country_code,Year,Quantity
Afghanistan,AFG,2018,1265.72
Albania,ALB,2018,8552.15
Algeria,DZA,2018,76664
American Samoa,ASM,2018,168.032
Andorra,AND,2018,139.45
Angola,AGO,2018,11753
Anguilla,AIA,2018,87
Antigua and Barbuda,ATG,2018,361.985
Argentina,ARG,2018,152224
Armenia,ARG,2018,7791.196
Aruba,ABW,2018,982.8
Australia,AUS,2018,260998
Austria,AUT,2018,68597
Azerbaijan,AZE,2018,25229.20002
Bahamas,BHS,2018,2280
Bahrain,BHR,2018,29517
Bangladesh,BGD,2018,78612
Barbados,BRB,2018,1055.44
Belarus,BLR,2018,38927
Belgium,BEL,2018,75095
Belize,BLZ,2018,651.1354028
Benin,BEN,2018,202
Bermuda,BMU,2018,642.4
Bhutan,BTN,2018,6960.472
Bolivia (Plur. State of),BOL,2018,9883
Bosnia and Herzegovina,BIH,2018,19160
Botswana,BWA,2018,3104.841
Brazil,BRA,2018,601396
British Virgin Islands,VGB,2018,145.9
Brunei Darussalam,BRN,2018,4294
Bulgaria,BGR,2018,46837
Burkina Faso,BFA,2018,1020.8
Burundi,BDI,2018,246.05
Cabo Verde,CPV,2018,497.08
Cambodia,KHM,2018,8173
Cameroon,CMR,2018,8626
Canada,CAN,2018,654399
Cayman Islands,CYM,2018,657.72
Central African Rep.,CAF,2018,147.43
Chad,TCD,2018,234
Chile,CHL,2018,82313
China,CHN,2018,7166133
"China, Hong Kong SAR",HKG,2018,36565
"China, Macao SAR",MAC,2018,656
Colombia,COL,2018,79964
Comoros,COM,2018,98.4
Congo,COG,2018,3509
Cook Islands,COK,2018,41.4
Costa Rica,CRI,2018,11497.8959
C??te d'Ivoire,CIV,2018,10059
Croatia,HRV,2018,13632
Cuba,CUB,2018,20837
Cyprus,CYP,2018,5061.43
Czechia,CZE,2018,88032
Dem. Rep. of the Congo,COG,2018,12066.68
Denmark,DNK,2018,30377
Djibouti,DJI,2018,58
Dominica,DMA,2018,109.504
Dominican Republic,DOM,2018,19651
Ecuador,ECU,2018,29198.06
Egypt,EGY,2018,202838
El Salvador,SLV,2018,5402
Equatorial Guinea,GNQ,2018,736.096
Eritrea,ERI,2018,495
Estonia,EST,2018,12360
Eswatini,SWZ,2018,519.115
Ethiopia,ETH,2018,13612
Faeroe Islands,FRO,2018,352
Falkland Is. (Malvinas),FLK,2018,19.16873
Fiji,FJI,2018,1042.447
Finland,FIN,2018,70263
France,FRA,2018,581943
French Polynesia,PYF,2018,695.524444
Gabon,GAB,2018,2613.72
Gambia,GMB,2018,321.416
Georgia,GEO,2018,12148.6
Germany,DEU,2018,643159
Ghana,GHA,2018,16424.8
Gibraltar,GIB,2018,215.1
Greece,GRC,2018,53263
Greenland,GRL,2018,530
Grenada,GRD,2018,230.9472653
Guam,GUM,2018,1714.7
Guatemala,GTM,2018,13567.903
Guernsey,GGY,2018,53.8
Guinea,GIN,2018,1913.8
Guinea-Bissau,GNB,2018,86.6
Guyana,GUY,2018,1136.19
Haiti,HTI,2018,1046
Honduras,HND,2018,9526
Hungary,HUN,2018,32004
Iceland,ISL,2018,19830
India,IND,2018,1521785
Indonesia,IDN,2018,293202.9
Iran (Islamic Rep. of),IRN,2018,307968
Iraq,IRQ,2018,82507
Ireland,IRL,2018,31118
Isle of Man,IMN,2018,493.4
Israel,ISR,2018,68893
Italy,ITA,2018,289710
Jamaica,JAM,2018,4402
Japan,JPN,2018,1057755
Jersey,JEY,2018,44.54
Jordan,JOR,2018,18858.58889
Kazakhstan,KAZ,2018,107060
Kenya,KEN,2018,11163
Kiribati,KIR,2018,31.4
"Korea, Dem.Ppl's.Rep.",PRK,2018,15431
"Korea, Republic of",KOR,2018,590108
Kuwait,KWT,2018,74107
Kyrgyzstan,KGZ,2018,15728
Lao People's Dem. Rep.,LAO,2018,34410
Latvia,LVA,2018,6725
Lebanon,LBN,2018,23150
