df_households,data_pop
American Samoa,American Samoa (United States)
Anguilla,Anguilla (United Kingdom)
Aruba,Aruba (Netherlands)
Bermuda,Bermuda (United Kingdom)
Bolivia (Plur. State of),Bolivia
British Virgin Islands,British Virgin Islands (United Kingdom)
Brunei Darussalam,Brunei
Cabo Verde,Cape Verde
Cayman Islands,Cayman Islands (United Kingdom)
Central African Rep.,Central African Republic
"China, Hong Kong SAR",Hong Kong (China)
"China, Macao SAR",Macau (China)
Cook Islands,Cook Islands (New Zealand)
C??te d'Ivoire,Ivory Coast
Czechia,Czech Republic
Dem. Rep. of the Congo,DR Congo
Faeroe Islands,Faroe Islands (Denmark)
Timor-Leste,East Timor
Micronesia (Fed. States of),F.S. Micronesia
Falkland Is. (Malvinas),Falkland Islands (United Kingdom)
French Polynesia,French Polynesia (France)
Gibraltar,Gibraltar (United Kingdom)
Greenland,Greenland (Denmark)
Guam,Guam (United States)
Iran (Islamic Rep. of),Iran
Isle of Man,Isle of Man (United Kingdom)
"Korea, Dem.Ppl's.Rep.",North Korea
"Korea, Republic of",South Korea
Lao People's Dem. Rep.,Laos
Micronesia (Fed. States of),F.S. Micronesia
Montserrat,Montserrat (United Kingdom)
New Caledonia,New Caledonia (France)
Niue,Niue (New Zealand)
Northern Mariana Islands,Northern Mariana Islands (United States)
Republic of Moldova,Moldova
Puerto Rico,Puerto Rico (United States)
Russian Federation,Russia
Samoa,Western Samoa
Sao Tome and Principe,S?o Tom? and Pr?ncipe
St. Helena and Depend.,Saint Helena (United Kingdom)
St. Kitts-Nevis,Saint Kitts and Nevis
St. Lucia,Saint Lucia
St. Pierre-Miquelon,Saint Pierre and Miquelon (France)
St. Vincent-Grenadines,Saint Vincent and the Grenadines
Syrian Arab Republic,San Marino
United Rep. of Tanzania,Tanzania
Turks and Caicos Islands,Turks and Caicos Islands (United Kingdom)
United States Virgin Is.,U.S. Virgin Islands (United States)
Venezuela (Bolivar. Rep.),Venezuela
Viet Nam,Vietnam
Wallis and Futuna Is.,Wallis and Futuna (France)
